serial,serial_norm,color,last_seen,stockout_date,reorder_date,last_ship_date,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,offset_days,should_order_now,slope_7d,slope_14d,slope_30d,var_14d,cycle_age_days,points_in_cycle,days_since_reset,pct,mean_ship_interval,n_ships_180d,err_days
35N00735,35N00735,black,2024-06-12,2024-06-12,2024-06-12,2025-02-17,3,31,-0.7319,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,110.0
35N00735,35N00735,black,2024-06-12,2024-06-12,2024-06-12,2025-02-17,3,31,-0.7319,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,35.0
35N00735,35N00735,black,2024-06-12,2024-06-12,2024-06-12,2025-02-17,3,31,-0.7319,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,32.0
35N00735,35N00735,black,2024-08-26,2024-08-26,2024-08-26,2025-02-17,4,32,-0.6361,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,61.0
35N00735,35N00735,black,2024-08-26,2024-08-26,2024-08-26,2025-02-17,4,32,-0.6361,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,-39.0
35N00735,35N00735,black,2024-08-26,2024-08-26,2024-08-26,2025-02-17,4,32,-0.6361,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,110.0
35N00735,35N00735,black,2024-08-26,2024-08-26,2024-08-26,2025-02-17,4,32,-0.6361,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,35.0
35N00735,35N00735,black,2024-08-26,2024-08-26,2024-08-26,2025-02-17,4,32,-0.6361,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,32.0
35N00735,35N00735,black,2025-01-16,2025-01-16,2025-01-16,2025-02-17,5,31,-0.9161,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,61.0
35N00735,35N00735,black,2025-01-16,2025-01-16,2025-01-16,2025-02-17,5,31,-0.9161,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,-39.0
35N00735,35N00735,black,2025-01-16,2025-01-16,2025-01-16,2025-02-17,5,31,-0.9161,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,110.0
35N00735,35N00735,black,2025-01-16,2025-01-16,2025-01-16,2025-02-17,5,31,-0.9161,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,35.0
35N00735,35N00735,black,2025-01-16,2025-01-16,2025-01-16,2025-02-17,5,31,-0.9161,1.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,32.0
35N00735,35N00735,black,2025-10-05,,,2025-02-17,6,29,,1.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,61.0
35N00735,35N00735,black,2025-10-05,,,2025-02-17,6,29,,1.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,-39.0
35N00735,35N00735,black,2025-10-05,,,2025-02-17,6,29,,1.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,110.0
35N00735,35N00735,black,2025-10-05,,,2025-02-17,6,29,,1.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,35.0
